ticker,timeframe_min,date,time,div_type,expected_dir,spo_value,entry_price,price_level,move_5b,move_5b_pct,mfe_5b,mae_5b,n_bars_5b,move_15b,move_15b_pct,mfe_15b,mae_15b,n_bars_15b,move_30b,move_30b_pct,mfe_30b,mae_30b,n_bars_30b,move_eod,move_eod_pct,mfe_eod,mae_eod,n_bars_eod
SPY,3,2024-12-24,10:36,bear,down,101.09,598.73,598.82,-0.1101,-0.0184,0.08,0.6401,5,-0.48,-0.0802,0.08,0.6401,15,-0.8,-0.1336,0.08,1.08,30,-2.35,-0.3925,0.08,2.61,49
SPY,3,2024-12-27,10:12,bull,up,-122.9,594.03,594.03,-0.82,-0.138,0.52,1.24,5,-0.05,-0.0084,0.54,1.78,15,-0.91,-0.1532,0.6499,1.78,30,1.02,0.1717,1.5,3.2653,116
SPY,5,2025-01-02,09:40,hidden_bull,up,-100.79,587.14,586.23,3.35,0.5706,3.99,0.14,5,0.47,0.08,3.99,0.8,15,1.17,0.1993,3.99,1.94,30,-2.09,-0.356,3.99,6.64,76
SPY,5,2025-01-31,14:10,bull,up,-102.55,604.84,603.3,-1.17,-0.1934,0.46,1.2299,5,-3.1711,-0.5243,0.46,3.47,15,-2.84,-0.4695,0.46,3.79,22,-2.84,-0.4695,0.46,3.79,22
SPY,3,2025-02-10,09:42,hidden_bull,up,-107.92,603.1046,602.74,0.3854,0.0639,0.4154,0.2936,5,1.6254,0.2695,1.6854,0.2936,15,1.5554,0.2579,2.2254,0.2936,30,1.6154,0.2678,2.3953,0.2936,126
SPY,3,2025-02-18,09:36,hidden_bull,up,-161.31,610.7,610.555,-0.15,-0.0246,0.1016,0.75,5,-0.8801,-0.1441,0.1016,1.37,15,-0.12,-0.0196,0.1016,1.37,30,0.6899,0.113,0.8,2.32,128
SPY,3,2025-02-18,09:42,bear,down,-134.23,610.1801,610.8016,0.0701,0.0115,0.2301,0.4499,5,0.5501,0.0902,0.8501,0.4499,15,-0.2199,-0.036,0.8501,0.5599,30,-1.2098,-0.1983,1.8001,1.3199,126
SPY,3,2025-02-21,10:33,bull,up,-100.15,606.8,606.59,-0.38,-0.0626,0.2,1.034,5,0.53,0.0873,0.63,1.034,15,0.2,0.033,0.7,1.034,30,-6.61,-1.0893,0.7,7.33,109
SPY,5,2025-02-21,10:35,bull,up,-127.98,606.8399,606.2853,-0.3199,-0.0527,0.3601,1.0739,5,-0.3999,-0.0659,0.6601,1.0739,15,-4.0499,-0.6674,0.6601,4.1199,30,-6.6799,-1.1008,0.6601,7.3699,65
SPY,10,2025-02-21,13:10,bull,up,-129.86,602.85,602.72,-1.1,-0.1825,0.375,1.62,5,-2.67,-0.4429,0.375,3.38,15,-2.55,-0.423,0.375,3.38,17,-2.55,-0.423,0.375,3.38,17
SPY,3,2025-02-21,13:33,bull,up,-101.79,602.255,601.59,-0.2945,-0.0489,0.97,0.515,5,-1.315,-0.2183,0.97,1.315,15,-2.225,-0.3694,0.97,2.785,30,-2.065,-0.3429,0.97,2.785,49
SPY,10,2025-02-21,14:40,bull,up,-126.0,599.94,599.62,0.65,0.1083,0.97,0.28,5,0.36,0.06,0.97,0.44,8,0.36,0.06,0.97,0.44,8,0.36,0.06,0.97,0.44,8
SPY,5,2025-02-27,15:20,bull,up,-108.6,587.39,586.64,-0.79,-0.1345,0.4,1.53,5,-2.19,-0.3728,0.4,2.74,8,-2.19,-0.3728,0.4,2.74,8,-2.19,-0.3728,0.4,2.74,8
SPY,5,2025-03-03,10:10,hidden_bull,up,-100.31,591.94,591.77,1.7499,0.2956,2.69,0.48,5,0.46,0.0777,3.185,0.48,15,1.69,0.2855,3.185,0.77,30,-7.16,-1.2096,3.185,12.04,70
SPY,3,2025-03-03,13:33,bull,up,-111.01,588.26,587.54,0.87,0.1479,5.9594,0.78,5,0.31,0.0527,5.9594,0.78,15,-3.99,-0.6783,5.9594,4.62,30,-3.75,-0.6375,5.9594,8.36,49
SPY,3,2025-03-03,15:30,bull,up,-106.1,581.86,580.83,-0.2704,-0.0465,0.27,1.96,5,2.65,0.4554,2.74,1.96,10,2.65,0.4554,2.74,1.96,10,2.65,0.4554,2.74,1.96,10
SPY,10,2025-03-04,10:20,bull,up,-115.72,574.51,572.39,-0.94,-0.1636,1.59,2.06,5,1.984,0.3453,4.06,2.21,15,9.33,1.624,10.88,2.21,30,3.88,0.6754,10.88,2.21,34
SPY,3,2025-03-18,10:03,bull,up,-111.31,561.17,560.3,-0.58,-0.1034,0.4917,1.02,5,-0.14,-0.0249,0.9,1.02,15,-0.97,-0.1729,0.9,1.83,30,0.29,0.0517,1.045,2.11,119
SPY,3,2025-03-20,10:09,hidden_bear,down,122.28,568.17,568.5075,-1.755,-0.3089,0.52,1.7899,5,-1.605,-0.2825,0.52,2.4,15,-0.55,-0.0968,0.52,2.4,30,2.28,0.4013,4.3997,2.4,117
SPY,3,2025-03-20,10:27,bear,down,121.2,569.48,569.9599,-0.8035,-0.1411,0.62,1.01,5,-0.18,-0.0316,0.67,1.09,15,1.3102,0.2301,1.79,1.09,30,3.59,0.6304,5.7097,1.09,111
SPY,5,2025-03-20,10:50,bear,down,101.54,569.755,570.57,0.825,0.1448,0.945,0.135,5,1.745,0.3063,2.065,0.135,15,4.055,0.7117,4.145,0.135,30,3.845,0.6749,5.9847,0.135,62
SPY,5,2025-04-09,14:05,bear,down,111.08,533.935,537.98,-2.325,-0.4354,1.045,5.935,5,-6.235,-1.1677,4.255,6.465,15,-9.375,-1.7558,4.255,14.685,23,-9.375,-1.7558,4.255,14.685,23
SPY,5,2025-04-10,12:30,bull,up,-100.37,516.95,509.32,2.81,0.5436,3.6,1.53,5,5.64,1.091,8.05,4.08,15,11.75,2.2729,12.76,4.08,30,9.05,1.7507,12.76,4.08,42
SPY,3,2025-04-21,10:24,bull,up,-117.55,515.75,515.28,0.91,0.1764,1.11,0.66,5,-1.34,-0.2598,1.11,1.78,15,-4.72,-0.9152,1.11,4.95,30,-2.0,-0.3878,1.11,7.29,112
SPY,5,2025-04-24,10:10,hidden_bear,down,112.55,539.9699,540.4,-2.8701,-0.5315,0.4399,3.3401,5,-2.5101,-0.4649,0.4399,3.9001,15,-4.9201,-0.9112,0.4399,5.3801,30,-7.7501,-1.4353,0.4399,9.3601,70
SPY,3,2025-04-28,15:54,bear,down,102.94,551.81,552.28,1.41,0.2555,1.41,0.14,2,1.41,0.2555,1.41,0.14,2,1.41,0.2555,1.41,0.14,2,1.41,0.2555,1.41,0.14,2
SPY,3,2025-05-19,09:51,hidden_bear,down,112.81,590.97,591.3,-1.572,-0.266,0.1,2.13,5,-1.74,-0.2944,0.1,2.33,15,-1.7,-0.2877,0.1,2.33,30,-3.43,-0.5804,2.46,4.57,123
SPY,5,2025-05-19,10:10,hidden_bear,down,129.85,592.4,593.1,-0.14,-0.0236,0.88,0.9,5,0.0435,0.0073,0.88,0.9,15,-1.37,-0.2313,3.89,1.74,30,-1.9401,-0.3275,3.89,3.14,70
SPY,10,2025-05-19,10:20,hidden_bear,down,123.34,592.25,593.3,-0.45,-0.076,0.64,0.66,5,-2.29,-0.3867,3.74,2.51,15,-1.295,-0.2187,3.74,3.29,30,-1.8299,-0.309,3.74,3.29,34
SPY,3,2025-05-27,09:36,hidden_bull,up,-108.01,585.09,584.47,0.92,0.1572,1.0898,0.11,5,2.81,0.4803,2.9,0.11,15,2.99,0.511,3.5,0.11,30,5.75,0.9828,6.22,6.66,128
